Sentence	label
Bro Gadi le hoge nintkoloke heali avn beja bayge barrage bole magange	Not-Hope
@dollegowda m hlo bro	Hope
Bharatha no 1 desha namma deshakke yaudu sari sati ella	Not-Hope
Nanu tik tok use madutha ela bro .jai Indian army	Not-Hope
Hindi Song release madilavaa	Not-Hope
ನೋವು ನಲಿವಿಗೆ ಕಾರಣ...nಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ	Hope
ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಇರುವಷ್ಟು ಹೊಟ್ಟೆಕಿಚ್ಚು ಜನಗಳು ಬೇರೆ ಯಾವ ಭಾಷೆಯಲ್ಲೂ ಸಿಗುವುದಿಲ್ಲ ಎಂಥ ದೊಡ್ಡ ವ್ಯಕ್ತಿ ಮಗ ಇವರು ಅಶ್ವಥ್ ಸಾರ್ ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಮೇರು ನಟರು ಅವರ ಮಗನಿಗೆ ಇದೆಂಥಾ  ಪಜಿತಿ...ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಯಾರಿಗೆ ಯಾರೂ ಸಹಾಯ ಮಾಡುವುದಿಲ್ಲ ನೂರಾರು ಕೋಟಿ ಹಣವಿದ್ದರೂ ಅವರು ಸ್ವಾರ್ಥಿ ಗಳಾಗಿರುತ್ತಾರೆ ಇದೇ ಕಾರಣಕ್ಕೆ ರಜನಿಕಾಂತ್ ಅರ್ಜುನ್ ಸರ್ಜಾ ರಂತಹ ಮೇರು ನಟರು ನಮ್ಮ ಭಾಷೆ ಬಿಟ್ಟು  ಪರ ಬಾಷೆಗೆ ಹೋಗಿರುವುದು...	Hope
ನನಗೆ ಈ ಹಾಡಿನಲ್ಲಿ ಜಾಸ್ತಿ ಇಷ್ಟ ಆಗಿದ್ದು ಕನ್ನಡ ಸಾಹಿತ್ಯ ಮತ್ತು ಹಿನ್ನೆಲೆ ಸಂಗೀತ ಅತೀ ಮುಖ್ಯವಾಗಿ ಅವನ ಗತ್ತು ಮತ್ತು ನಟನೆ	Not-Hope
children's Dan's aha jumtaka jum jum	Not-Hope
@ಕಿಚ್ಚನ ಹಾವಳಿ book my show Alli pailwan 16cr kurukshetra 28cr madide nodo amele maatadu yavdu jaasti collection madide anta	Not-Hope
🥰🥰🥰🥰🥰🥰.   nSemaya irruku song......	Not-Hope
Give me ur mail address	Not-Hope
Manjunatha  Manju	Not-Hope
Super rost Anna	Not-Hope
Hindi alli yaavaga bidthare?	Not-Hope
Dynamic Prince is back nಕಂಟೆಂಟ್ ಇರೋ ಮೂವಿನ ಕನ್ನಡಿಗರು ಯಾವತ್ತೂ ಕೈ ಬಿಟ್ಟಿಲ್ಲ	Not-Hope
ಪದಗಳು ಸೋತಿದೆ....ಸಿನಿಮಾದnಅಂತರಾಳ ಅರಿಯಲು....nಹೃದಯದ ಕಿನ್ನರಿಯಲಿ ಹೊಸ ನಾದಲಯವ ಮೊಳಗಿಸಿದ...ಈ ಚಿತ್ರ ತಂಡಕ್ಕೆ ಸಾಸಿರ ನಮನ.....	Hope
ಅದ್ಭುತ ಸರ್ ಜೇವನದಲ್ಲಿ ಎಂದು ಸೋಲುಬಾರದು great ನಿಜವಾಗಿಯೂ	Hope
Karnatakakke bandaddela sullu swami swalpa reel biduvaga alochane maadi bidu	Not-Hope
ಕೆಲಸ ಬೇಕಾnCall to 8546903696	Hope
Super guru ugudre e thara ugibek moka oruskolaku gap kodbardu guru	Not-Hope
Yarige e trailer nodidre Rangitharanga movie nenpaytu like madi	Not-Hope
ಇದು ನಮ್ಮ ಉತ್ತರ ಕರ್ನಾಟಕದ ಶೈಲಿಯಲ್ಲಿ ಸಿನಿಮಾ ಆಗಬೇಕು	Not-Hope
ಮನ ತಣಿಸುವಂತ ಕಥೆ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ..	Hope
ಇದು ಚರಿತ್ರೆ ಶ್ರುಷ್ಟಿಸೋ ಅವತಾರ	Hope
supe togari tippa	Hope
ಕೌಶಲ್ಯ ಇದ್ದವರ ಸಂಖ್ಯೆ ಕಡಿಮೆ ಇಲ್ಲ ಸರ್ ತುಂಬಾ ಪ್ರತಿಭಾವಂತರಿದ್ದಾರೆ.... influence ಪವರ್ ತುಂಬಾ ಇದೆ ನಮ್ಮ ದೇಶದಲ್ಲಿ influence ಇಲ್ಲ ಅಂದ್ರೆ ಯಾವನು ಮೂಸಿ ಕೂಡ ನೋಡಲ್ಲ ನಮ್ಮ ದೇಶದಲ್ಲಿ....ಅದಕ್ಕೆ ಕೌಶಲ್ಯ ಇದ್ದೋರಿಗೆ ಕೆಲಸ ಸಿಗ್ತಿಲ್ಲ.....	Hope
@Anil A hu niamman kalskodu keydu kolve baavi madi kalsthini olike eldu snana madkollivanthe thuldeepannan pans for a reason caste dogs 🤣	Not-Hope
ಸೂಪರ್ u r a carrect	Hope
ಒಂದೊಳ್ಳೆ ಚಿತ್ರಕ್ಕೆ ಈ ರೀತಿ  ಚಿತ್ರಮಂದಿರ ಸಮಸ್ಯೆ ಆಗಬಾರದು	Hope
@Avatar 123 but you support corupt political democracy	Not-Hope
2019 utter flop in sandlewood	Not-Hope
Hands up' ಅವನ ಬರ್ತಾ ಇದಾನೆ...	Hope
Olledu ond pan India movie madro sumne yak eneno madkondu...	Not-Hope
Nav itara iroke karana Congress party	Not-Hope
ಹೆಮ್ಮೆಯ ಕನ್ನಡಿಗ	Hope
Sharanappa Hosur ঐযয	Not-Hope
Super song	Not-Hope
ಅದ್ಭುತವಾಗಿದೆ ಚಿತ್ರ ದಿಯಾ	Not-Hope
God bless u Sir...	Not-Hope
@V B Ade	Not-Hope
@Dhee Pu adu Acchhagannada	Not-Hope
ಟಿಕ್ ಟಾಕ್ ಬ್ಯನ್ ಆಗ್ಲೇ ಬೇಕು	Not-Hope
@Yash cult Guru ellaa heroes andru yash na yaakappa bidtiyaa!? Example Santu straight forward	Not-Hope
Super bro love India	Hope
@Manoj Gowda ಮಲಯಾಳಿಗರ ಸಿನಿಮಾ ಅಭಿರುಚಿ ತುಂಬಾ ವಿಚಿತ್ರ (in a positive way) ವಾದದ್ದು	Not-Hope
Madolla because promotion asten madilla making kgf ginta dull ede	Not-Hope
Aadu nane broo... Soul naa Replacement maddee... Bere body gee.. Antha aansthidee	Not-Hope
Signature stepge kaasu....Adakkentha theatre hogthini...	Not-Hope
Prajwal devaraj matte yeddelo chances ide adu ee trailer ali kaanustide	Not-Hope
like bollywood music	Not-Hope
ಕನ್ನಡ ಸಾಂಗ್ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ	Hope
Vp sir super singing	Not-Hope
Super song bro	Hope
Kannada nigant allli dagar Andre enu artha gotta?n	Hope
Guru super video  Tq guru	Not-Hope
@Kiccha Vitthal ಏನ್ಲ ಬಳೆಗಾರ ಲುಚ್ಛನ್ ಫ್ಯಾನ್ಸ್	Not-Hope
ABHINAYA CHAKRAVARTHI KICCHA SUDEEP FANS Like HERE	Not-Hope
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ	Hope
ಸ್ವಾಭಿಮಾನ ಇಲ್ಲಾದವರು	Not-Hope
ನಿಜಕೂ ಈದು ಆಚರಿನೇ🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤥🤥🤥🤓🤡🤡🤡🤠🤠🤠	Not-Hope
OMG ಟಿಕ್ ಟಾಕ್ ನಿಂದ nಚೈನಾದ ಬೋ* ಮ* 7	Not-Hope
ಅಶ್ವತ್ಥಾಮ ಚಿರಂಜೀವಿ ಶಾಪ ವಿಮೋಚನೆಗಾಗಿ ಶಿವನ ಪೂಜೆ ಸಲ್ಲಿಸುತ್ತಿದ್ದಾರೆ ಒಂದು ಬಾರಿ ಉಡುಪಿಗೆ ಮಧ್ಯರಾತ್ರಿ ಬಂದಿರುವುದು  ಖಚಿತವಾಗಿದೆ ಟೀವಿ 9 ಕನ್ನಡದಲ್ಲಿ ಈ ವಿಷಯ ಪ್ರಸಾರವಾಗಿದೆ	Hope
Super bro	Hope
Ashwathama. Vadhukkidhe.evathu. video. Nodithunanu. Jai. Babaji	Not-Hope
I like mindrika	Not-Hope
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ	Hope
Dboss abhimani aagi nange gotthilla esht sala e song nodidhini antha yarellla jasthi nodidhira like madrappa pls	Not-Hope
ಸೂಪರ್ ಆಗಿ ಬಂದಿದೆ ನಿಮ್ಮ ಟ್ರೈಲರ್ ಈ ಫಿಲಂ ನಿಮ್ಮ ಲೈಫ್ ಅನ್ನು ಚೇಂಜ್ ಮಾಡಲಿ ಪ್ರಜ್ವಲ್ ಅವರೇ ಕೆಲವರಿರುತ್ತಾರೆ ಅವರ ಲೈಫಲ್ಲಿ ಏನೂ ಮಾಡಲಿಕ್ಕೆ ಆಗಲ್ಲ ಇನ್ನೊಬ್ಬರ ಬಗ್ಗೆ ಮಾತನಾಡುತ್ತಾರೆ ಅಂತ ರಿಗೆ ನೀವು ಏನು ಹೇಳಿದರೂ ಪ್ರಯೋಜನ ಇಲ್ಲ ನಿಮ್ಮ ಈ ಫಿಲ್ಮ್ ಯಶಸ್ಸು ಕಾಣಲಿ ಜೈ ಕರ್ನಾಟಕ	Hope
Yavdadru habba raja Dina dalli release madbekitttu odtittu ..	Not-Hope
Super song all the best from Shivaraj Kumar fans	Hope
Superb video bro	Hope
Nam boss supero super	Not-Hope
Hindi nalli Madi movie oduthe plz	Not-Hope
avru hege andre . neenu hene satya helu naavu deslike maadode . naavu erode adke avru huttutane . appa ammananne esta pattirlikkella	Hope
Chinada tiktok CEO helidanante bharatadalli  iruvashtu somarigalu berellu illa anta idarta avara deshadavare aa app annu ashtu use madtilla  bharatadalli koti gattale use madtidare. Banne maadida modi sarkarakke danyavadagalu nnJai JAWAN Jai KISAN nJAI HINDH	Hope
@Lalkrishna S  ಹೋಲಿತೀಯಾ	Not-Hope
ಈ ಕಾಲದಲ್ಲಿ ಒಳ್ಳೆತನಕ್ಕೆ ಬೆಲೆ ಇಲ್ಲ ಮತ್ತೆ ಗೆಲ್ಲುವುದು ಹೇಗೆ	Not-Hope
Kathe tumba ista aythu..	Not-Hope
ಕೆ ಜಿ ಎಪ್ ನಂತರ ಮತ್ತೂಂದು ಕನ್ನಡದ  ಹೆಮ್ಮೆ	Hope
Rasmika ge  uribeku nimma cenema successful kanabeku hagu nimma jodi shanvi madam rakshit shetty jote  maduve agabeku idu nimma abhimani asheya	Not-Hope
yes I am	Not-Hope
E kannalli ennu en  en nodbeko bro	Not-Hope
Vijayprakash sir yavagin haage the bestbut malayalam version voice maathra sakkatth ista aythu	Not-Hope
Hudgirge estu huchu edso song adre.   Enaa hudugara kathe henge.	Not-Hope
yarappa ee hadannu dislike madiddu !!! mostly Rashmika 1.1k sarthi dislike maadirbeku ha ha ha ha	Not-Hope
ಒಂದು ಮಿಲಿಯನ್ ಆದಮೇಲೆ ಯಾರ್ಯಾರು ನೋಡ್ತಾ ಇದೀರ ಅವರು ಲೈಕ್ ಕೊಡಿ	Not-Hope
nivu helidu sari nanu follow madthini🤗	Hope
ಕನ್ನಡದಲ್ಲಿ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸಲಿ ಈ ಸಿನಿಮಾ	Hope
Super song 100 days pakka	Not-Hope
Kgf fan like har	Not-Hope
@Raja Vishnuvardhana hagidre enu madok agolla bidu.hahaha.	Not-Hope
ತೊಗರಿ ಅಭಿವೃದ್ಧಿ ನಿಗಮದ ವ್ಯವಸ್ಥಾಪಕ ನಿರ್ದೇಶಕರಿಗೆ	Hope
@Kiccha Vitthal papa bidu guru amele athbitre kashta attar flop ago movie ge support madtavre	Not-Hope
Edu charitre srustisuva avatraaa	Hope
Gud job  nim nirdharakke nimma kelasakke Namma gowrava namaskara. kanditha nimge olle role kodo buddi nirdeshakarige  haagu kannda industry ge barabeku...	Hope
@Manoj Kolya Movie nododidre nodu.. Bittre bidu.. Loss ninge ne.. Movie onthu pakka Sandalwood Blockbuster agutte.. Doubt ee illa..	Not-Hope
ನಿಮ್ಮ‌ ಈ ಮಾಹಿತಿಗೆ ಧನ್ಯವಾದ ಸರ್.. ನಾವು ಸಾಮಾನ್ಯ ಜನ‌ ಜಸ್ಟ್ ವಿಡಿಯೋ ನೋಡ್ಕೊಂಡು‌ ಇಂಡಿಯಾ ಬಗ್ಗೆ ಯೋಚನೆ‌ ಮಾಡಿದ್ರು ಅದು‌ ಉಪಯೋಗ ಆಗಲ್ಲ ಈ ಮಾಹಿತಿ ಕೆಲವೊಂದು ವರ್ಗದ‌ ಜನರಿಗೆ ಮನಮುಟ್ಟುವಂತೆ ಆಗ್ಬೇಕು‌ ಆಗ ಏನಾದ್ರು ಚೇಂಜ್ ಅಗಬಹುದೆನೋ ಗೊತ್ತಿಲ್ಲ..	Not-Hope
@Navya Shree lo gaandu nan magne nam boss fans yavattu support madtare kano gubaald sule magane	Not-Hope
Rashmikage vs takkange ede e song super guru	Not-Hope
Thankz bro troll alla bro Roast	Not-Hope
Nice togari tippa kathegalu	Not-Hope
ಟಿಕ್ ಟಾಕ್ CEO n ಭಾರತದಲ್ಲಿ ಅತಿ ಹೆಚ್ಚು ಸೋಮಾರಿಗಳಿದ್ದಾರಾ ಹಾಗಾಗಿ ಟಿಕ್ ಟಾಕ್ ಅನ್ನು ಬಳಸುತ್ತಿದ್ದಾರೆ ಅಂತn ಸೊಕ್ಕಿನಿಂದ ಅತಿ ಕೇವಲವಾಗಿ ಮಾತಾಡಿದರೂ ಕೂಡ ನಾಚಿಕೆಗೆಟ್ಟ   ನಮ್ಮವರಿಗೆ ಬುದ್ಧಿ ಬಂದಿಲ್ಲ	Not-Hope
Very nice togari tippa na story..	Not-Hope
Bogus kathe ........thu nan makla sullu bogaloku nachike agalva yaro nivella thuuuuuuu	Not-Hope
I love to learn Kannada languagenI love to speak in KannadanBecause I'm from KarnatakanKunda nagree Karnataka	Not-Hope
Yest Sala Nodidru Bejar Agalla	Not-Hope
Nijwaglu thumba chanagide	Hope
Upendra tara ideas eroru PM	Not-Hope
ಗುರು ಇದನ್ನು ಮಾಧ್ಯಮದವರು ಸರೆ ಹಿಡ್ದಿರೋ ದೃಶ್ಯ ಇದ್ರೆ ಹಾಕು ಗುರು.	Hope
Dance steppp supppperrrrrr	Not-Hope
Hook step is awesome	Not-Hope
@Sushma Prasad thank uu	Not-Hope
@Nandi Parthasarathiಲೆ ಹಾದರಗಿತ್ತಿ.... ನಿನ್ ತುಲ್ಲು ಊರು ಬಾಗ್ಲು ಅನ್ಸುತ್ತೆ	Not-Hope
@TROLL MONSTER_KANNADA nim maneg bande iru ning hosa tengi sigtale 4monts admele soo be happy bro nim amman sule magne	Not-Hope
@VARAPRASAD K K guru yaru yargu kadime illa	Not-Hope
ನೋಡ್ತಾ ಹೋದ್ರೆ ಸಾವಿರಾರು lyrical video ಗಳು	Hope
ಸೆಕ್ಸ್ ಸೆಕ್ಸ್ ಸೆಕ್ಸ್ ವೀಡಿಯೋಸ್	Not-Hope
Song ge unlike kotiroo sulimakala	Not-Hope
ಯುದ್ಧ ಮಾಡಬೇಕು ಓದಬಾರದು ಕಟುಕರ ಮುಂದೆ ಭಗವದ್ಗೀತೆ ಎಂತಹ ಸಾಲುಗಳು	Hope
ನಿಜಕ್ಕೂ ಗ್ರೇಟ್ ಪರ್ಸನ್	Hope
Kach hogedu banda varu like madi	Not-Hope
@TROLL MONSTER_KANNADA ಯಾವ್ದೋ ಲೋಕಲ್ ಎಣ್ಣೆ ಕುಡಿದು	Not-Hope
ಜೈ ಆಂಜನೇಯ	Hope
Super guru ninu	Hope
ನಮ್ಮ ದೇಶದಲ್ಲಿ ಎಣ್ಣೆ ಗೆ. ಇಂಪಾರ್ಟೆಂಟ್ ಕೊಡ್ತಾರೆ..	Not-Hope
ಸೂಪರ್ ಆಗಿ ಹೇಳಿದ್ದೆ ಗುರು	Hope
Guru Chinese mobile yen madodu	Not-Hope
ವಾವ್ ನೈಸ್ ಸಾಂಗ್	Not-Hope
Pakka hit agutthe guru movie	Not-Hope
Super Boss idu actually bekagiddu ... tik tok madavruru sari yagi Thodineku	Not-Hope
@Dhee Pu nin baayige .	Not-Hope
Nandini Parthasarathi ascar just miss n	Not-Hope
Well side bro	Not-Hope
Ulti music and signature step	Hope
@sharath sharu yako sule magne sumne eroke agalva	Not-Hope
Move chenagi irli hero ge olledagli  tumbane kasta padta I dareP	Not-Hope
ಶಂಕರ್ ನಾಗ್ ಅವರ ಅಭಿನಯದ ಸಾಮ್ಯತೆ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಅವರಲ್ಲಿ ಕಾಣಬಹುದಾಗಿದೆ	Hope
ಸೂಳೆಮಗನೇ yengo ediya ಎಲ್ಲಾ ಕಡೆ daagar ankondu promotion madtira gaandu sulemakla daagar kano avnu Darshan alla 🤦‍	Not-Hope
@Nagabhushana B S ayyo sulemaklu....	Not-Hope
Matte comment yaru kettadagi maadbardantha commenters gu warning kottri idella thappe.public comment antha irodu adu public opinion nivu yaru nam bagge maathadodakke.	Not-Hope
Wonderfull super amazing song superrrrrrrrr	Not-Hope
@Manjunath BJP Jorapur ybsbjdis	Not-Hope
+Nabilal S ಕಗಬಜ	Not-Hope
Krishna mosake.....Karna.. Duryodana.. marana ondidaru... Avaranu solesalu.. pandavarige sadyane Ella....	Not-Hope
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ	Not-Hope
Dislike from rashmika fans	Not-Hope
Waaa Super super Rakshit sir And ajaneesh lokanaath Anna Music super	Hope
Kannadalli bandiro yella cinema December 27 kke hands up yidu charitre shrushtisu avatar annovru like madi	Not-Hope
D.boss fans kade doddadagi wel come madtivi sir	Not-Hope
ಗುರು ನಿನ್ ಹೇಳು ಪ್ರಕಾರ ಯಾರು ಮಾವಿನ್ ಸುಪೋರ್ಟ್ ಮಾಡ್ಬಾರ್ದು	Hope
ಯಾರಿಗೂ ಯಾರು ಗೂತೀಲಾ ಸರ್  ಆದರೇ   ನಮ್ಮ ಧುಢೀಮೇ ನಮಗೆ ಸರ್	Hope
@d boss mania Yegurkollale cake cutting puk	Not-Hope
ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಅಭಿಮಾನಿ	Not-Hope
AvaneSrimannarayana du background music BGM release madi sir	Not-Hope
super ತೊಗರಿ ತಿಪ್ಪ	Hope
Sakkath Guru ..luv luv luv	Not-Hope
Bosdike nimmappa sattaga ninu mosale kanniruhaktiyo..I'll a shocky madtiyo no do na madarchod.	Not-Hope
ಸೂಪರ್ ಅಣ್ಣಾ ಚನ್ನಾಗಿ ಹೇಳಿದಿರ ದೇಶ ಅಭಿಮಾನ ಅಂದ್ರೆ ಇದು ಗುರು	Hope
Super hero prajval devraj I like I love hero but avara time sari ila adke avara movie hit agtila but ivarige vale director sigbeku benki hero prajval I love boss E cinema adru nimge success tandu kodali..devru idane munde nugta eri boss god bless you	Hope
ಡಿಬಾಸ್ ಭಕ್ತರ ಕಡೆಯಿಂದ   ಶುಭಾಶಯಗಳು	Hope
@Prithvi Vishwanath nle D boos bagi matadaku ugyote bekale.... dam bekale.... Kuri shetra ascar nominasahan filam gota? takat idre ond icy haatika filam tegiro nodana? joi d boos	Hope
@Mahesh Babu gandu sulemagane.....urko....	Not-Hope
Excellent  anna super	Hope
@Kalki Kali yuga yavag naasha maadtiyo kalki🤣🤣	Not-Hope
ಆಲ್ ದಿ ಬೆಸ್ಟ್ ನಿಖಿಲ್ ಕುಮಾರಸ್ವಾಮಿ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಈ ಚಿತ್ರ ಶತದಿನೋತ್ಸವ ಆಚರಿಸಲಿ ಎಂದು ಹಾರೈಸುತ್ತೇವೆ	Hope
ಸರ್ bigg boss house ಗೆ ಹೋಗಿ ನೀವೇ ಗೆಲ್ತಿರಾ 🥺	Not-Hope
Super  maga	Not-Hope
@Kirankumarkk Gowda muchtiya solpa?	Not-Hope
Ashwathamana bagge thiliyalu raktha rathri emba yakshagana nodiri	Not-Hope
Sir nimmannu prathyakshavagi nodalu aaseyagutide sir nimma hattira ondu dina full kaala kaleyalu aase idhe aadre yenu maadudhu sir nimmannu bittu barudhu yochane maaduvaaga manassige bahala bahala kashsta aagutte sir  devaru nimma aasegalanella eederisaly	Not-Hope
Handsup shoot madbeka dishkaew	Not-Hope
ಅದ್ಬುತವಾಗಿದೆ ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ಚಿತ್ರದ ಹಾಡು ಹ್ಯಾಂಡ್ಸಪ್	Not-Hope
Super video bro	Hope
ಸರ್ ನಿಮ್ಮ ಪ್ರತಿಯೊಂದು ಮಾತು ನೂರಕ್ಕೆ ನೂರು ಸತ್ಯ nನಿಮ್ಮ ನೋಡಿ ಹೆಮ್ಮೆ ಆಗುತ್ತೆ ಸರ್	Hope
@Ŕävîñđŕå_02_GøWđřú bro evnu venkatesh kulkarni avr comments ge reply madidane adanna odudre nin education EE flop	Not-Hope
Helodannu kadime madu antialla desha uddarane	Not-Hope
@Nandi Parthasarathi ಬಂದ್ರೆ ತಿಕಾ ದೆಂಗ್ತಿನಿ ಎಷ್ಟೇ ನಿನ್ ರೇಟು ಹಡ್ಬಿ ಸೂಳೆ.... ಆ ಲುಚ್ಛನ್ ಫ್ಯಾನ್ ಅಂತೇ... ಅವುಂದು ತುಣ್ಣಿ ಉಣ್ಣು ಹೋಗಿ ಲೋಫರ್ ಸೂಳೆ	Not-Hope
Great work bro....nKeep it up	Hope
Kathe heldene nilsbitri	Not-Hope
Unlikers Ella chinos appang huttid sulemaklu irbek	Not-Hope
Gun steps super	Not-Hope
ನಾನು ಚಿಕ್ಕವನಾಗಿದ್ದಾಗ ಕೇಳಿದ ಈ ತೊಗರಿ ತಿಪ್ಪನ ಕಥೆ ಈಗ ಮತ್ತೆ ಕೇಳಿ ನನ್ನ ಮನಸ್ಸು ಸಂತೋಷವಾಗಿದೆ ಸೂಪರ್ ತೊಗರಿ ತಿಪ್ಪ	Hope
Edhu  talent	Hope
Gubaal. Tennis ge ball🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣	Not-Hope
ನಮ್ hero record ಅಷ್ಟು nನಮ್ hero record ಇಷ್ಟು ಅಂತ  ಕೆಲವೊಂದಿಷ್ಟು fans ಬಡಿದಾಡ್ತಿದ್ರೆnಅಲ್ಲೋಬ್ಬ ಎಲ್ಲ fans ಗಳನ್ನು ಒಗ್ಗೂಡಿಸಿ ತನ್ನೆಡೆಗೆ ಸೆಳೆಯುವಂತೆ ಮಾಡಿ ತನ್ನದೇ ಛಾಪು ಮೂಡಿಸಿದ nಯಾರವನು!?nnnnnnಅವನೇ ಶ್ರೀಮನ್ ನಾರಾಯಣ	Hope
Boss nin vedio na use madkola roposo nalli post madtini pls bro	Not-Hope
Super dance stepppppp	Not-Hope
Spr song guruuu	Hope
ಚಿಂದಿ ಸಿಗ್ನೇಚರ್ ಸ್ಟೇಪ್ ಸೂಪರ್	Hope
Idu charitre srastiso avatara	Not-Hope
ನಮ್ಮ ಸಾಂವಿದಾನ ಕಾನೂನು ಕಾರಣ	Not-Hope
@TROLL MONSTER_KANNADA nim ammange nan hakde tunne nathangi siktale avl na vrdashramkke serstini yakandre ninge nodkollake yogyate illa adukkehogo jumper( chupper)	Not-Hope
ಎಂಥ lines	Not-Hope
ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಗೂ ಮತ್ತು ಉಳಿದ ಹೀರೋ ಅಥವಾ ಡೈರೆಕ್ಟರ್ಗಳಿಗೆ ಇರೋ ವ್ಯತ್ಯಾಸ ಇದೆnnಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ಓರ್ವnಮಿಕ್ಕವರೆಲ್ಲ  ಒಂದು....	Hope
Hindi elitha handig uttad hadbi nan magne	Not-Hope
ತುಂಬಾ ಅನುಕೂಲ ವಾದ ನಟರಿದ್ದಾರೆ ನಮ್ಮ ಇಂಡಸ್ಟ್ರಿ nallinಸುದೀಪ್sir. ಪುನೀತ್ sir. ಶಿವಣ್ಣ. ಧರ್ಶನ್ ಸರ್ nಇಂತಹ ಹಿರಿಯ ಕಲಾವಿದರಿಗೆ ಬಿಸಿನೆಸ್ ಗೆ nಹೆಲ್ಪ್ ಮಾಡಿದ್ರೆ ಚೆನಾಗಿರೋಧು ಇನ್ಕ್ಲೂಡಿಂಗ್  syedh ಇಂದ್ರಜಿತ್ ಅವರಿಗೂ kooda ಸಹಾಯ ಮಾಡಬಹುಧಾಲ್ಲವೇ	Hope
baari ugadiddira bro .......full support nimage	Not-Hope
ಏನ್ರೀ ಇದು ಇಷ್ಟು ಜಾಹಿರಾತುಗಳು ಬರ್ತಾ ವೇ ಸ್ಕಿಪ್ ಮಾಡಿ ಮಾಡಿ ನೋಡಬೇಕಾಗಿದೆ	Hope
Bro tik tok gottlla but entertanment ge roast video nodtidde istu dina avrge roast madiro videos ginna idralli niv avrge use madiro words hudgiro style superb repeat madi madi nodbitte ee video..	Not-Hope
Yes true guru	Not-Hope
Tiktok sule makkla papa thumbs hurt agidri sadee nan gandu galuu	Not-Hope
Yuddha maadabeku oodabaaradu katukara mundhe Bhagavadgeethe.. Great lines!	Hope
E movie name  enu  paka  hitttt e a	Not-Hope
Avne Dodda copy	Not-Hope
ನಿಮ್ಮ ದ್ವನಿ ಹೀಗೆ ಬರಲಿ ಸರ್ ಟ್ರೈಲರ್ ಅದ್ಭುತವಾಗಿದೆ	Hope
@Aiswarya Soundarya hi mem..uta ayta mem....gn	Not-Hope
Ivrigella hige agbeku	Not-Hope
ಚಮಯ್ಯ ಮೇಸ್ಟ್ರು ಅವರ ಆಶೀರ್ವಾದ ಯಾವಾಗಲೂ ಇರುತ್ತೆ ನಿಮ್ಮಲ್ಲಿ ಸ್ವಾಭಿಮಾನ ಇದೆ ಆಗು ನಿಮ್ಮಲ್ಲಿ ಒಂದು ಛಲ ಇದೆ	Hope
ಇದು ನಿಜಾನಾ ಗುರುವೇ	Hope
@Sai Kumar may be	Not-Hope
Please sir Tik tak bide	Not-Hope
Chindi Song guru	Hope
ಸರ್ ಅಶ್ವತ್ಥಾಮ ಆ ವೈದ್ಯರ ಮನೆಗೆ ಬರುತ್ತಿದ್ದ ಅಂತ ಹೇಳುದ್ರಿ ಅವನಿಗೆ ಹೇಗೆ  ಗೊತ್ತು ಅವರು ವೈದ್ಯರು ಅಂತ ಮತ್ತೆ ಮುಖ್ಯವಾಗಿ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಹಿಂದಿ	Not-Hope
@Syed Akbar nija	Not-Hope
. .nanu 10 bari nodidene. nSuper.	Not-Hope
hi chandra kanth.. UK andre kelvu shettys ge ulidavaru kandante film antha sudden aagi gottagalla.. UK	Hope
Supper gurru 100. Present nija guru	Not-Hope
ಜಾನಪದ ಹಾಸ್ಯ ತೊಗರಿ ತಿಪ್ಪ ನಾಟಕ ಸೂಪರ್	Not-Hope
Super comment bro	Hope
Bro Adhu Hage Alla Yenu ilde Ondhu life start madidre yenu ansolla yella iddu kalkondu hege life lead madidre Novvu agutte so adhunna artha madkoli aste bcz avr best life Nodi e life ge bandirtare n avrge Acting bittu bere barolla adru ivru drive madtidare so great alva	Hope
Super sir nim anthoru Nam Kannada industry ge beku namma Kannada industrya kirty patake ellade harabeku belibeku	Not-Hope
