,Sentence,label
2941,adeno gottilla tumba ista ayta nimage???,Not-Hope
919,Ammanagedi chindi voice l helidiya guru,Not-Hope
621,ಸಾಮಾನ್ಯ ಮನುಷ್ಯ ಶಂಕರ್ ಸರ್  ನಮಗೆ ನೀವು ಮಾದರಿ,Hope
2178,sr u r great sr nimage Kannada chitrarangadalli avakashagalu sigalli sr sudeep sr darashan sr mattu yesh sr plz yella Kannada hirogalu nim pilimagalalli avakashagalu  kudri plz plz plz  plz plz,Hope
6765,@Manjunath shetty Bhatkal bro...nanna friend Manju film industrynalli iddane...namma urinavre...nanna friend...nanna contactnalli iddne... script matadiddeve....ottige seri discuss madona ...,Not-Hope
3303,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ ಸೂಪರ್‌ ಸಾ೦ಗ್ ರಕ್ಷಿತ ಅಣ್ಣ ಸೂಪರ್‌  ಆಲ ದಿ ಬೆಸ್ಟ್ ಕಿಚ್ಚ ಸುದೀಪ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ,Hope
5713,Adege astondu currect aagi heltira madam,Not-Hope
5244,@Nandi Parthasarathi ಅಂತೂ ಒಪಿಕೊಂಡಲ್ಲ ದೊಡ್ಡ ಷಂಡ ಅಂತಾ,Not-Hope
2154,god bless you sir,Hope
2866,ಇದರಲ್ಲಿ ಎನ್ ಚನ್ನಗಿದಿಯೊ ಗೊತ್ತಿಲ್ಲ ಆದರೇ ಮ್ಯೂಸಿಕ್ ಡ್ಯಾನ್ಸ್  ಚಿಂದಿ ಆಗಿದೆ.,Not-Hope
1111,ಗುರು ulti movie Superb Chindi,Not-Hope
1401,ಪ್ರಜ್ವಲ್ ದೇವರಾಜ ಗೆ ಈ ಸಿನಿಮಾ ಟರ್ನಿಂಗ್  ಪಾಯಿಂಟ್ ಅಗೋಡ್4ಅಲ್ಲಿ ಅನುಮಾನನೆ ಇಲ್ಲ,Hope
4214,ಜೀವನದಲ್ಲಿ ಶ್ರದ್ಧೆ ಮುಖ್ಯ.....  ಶ್ರದ್ಧೆ    ನಮ್ಮನ್ನು ಯಶಸ್ಸಿನ ಬೆನ್ನ ಹತ್ತುತ್ತಿಸುತ್ತದೆ.....,Hope
5524,Enu baitira guruve,Not-Hope
2660,Shashanka AS  ok,Not-Hope
5596,ವಾವ ಸುಪರ್ ಅನಾಲಸಿಸ್ನಮ್ಮ ದೇಶ ಓಳ್ಳೇದೆ...ಮಾತ ಜಾಸ್ತಿ  ಕೆಲಸ ಕಮ್ಮಿ.....ನನ್ನು ಸೇರಿ.,Not-Hope
5265,Supar sir ravichandar Tara kantiddirara sir,Not-Hope
1137,Super super rakshit Shetty king.star,Not-Hope
2025,#1 ON TRENDING,Not-Hope
6208,Yena editing guru,Hope
3048,Kannadadalli ee Tara cinematography iro movies innu barli,Not-Hope
3967,Thu thukali trailer,Not-Hope
3160,ಬಿಂದು ಗೌಡ ಟಿಕ್ ಟಾಕ್  ಬ್ಯಾನ್ ಆಯಿತು ಮನೇಲಿ ಪಾತ್ರೆ ತೊಳಿ,Not-Hope
3596,En music guru,Not-Hope
3687,Super kantha,Hope
959,Curectagi mathadodanna kali..,Not-Hope
3447,@Sachin Y S ik pakka avara irtar,Not-Hope
5184,@Nandi Parthasarathi gaandu sule,Not-Hope
230,ಇ ಎಡಿಟ್ ಹೇಗಿದೆn,Not-Hope
413,15 days inda bari dia movie status akthaedini bro awesome movie bro,Hope
4359,Kateya kone channagilla,Not-Hope
2472,Superb song..superb making love you Rakshith sir..,Not-Hope
3560,havdhu Nama manegu bandhidha .asshvathama,Not-Hope
3672,Super sir 🤣,Not-Hope
4790,ಇನ್ನೂ ಎಲ್ಲೆಲ್ಲಿ ಕೇಳ್ತವ್ರೋ.... ಅದೆಲ್ಲಾ report ಇವನಿಗೆ ಕೊಡ್ರೋ... ಅವನ reasearch ಗೆ  help ಆಗ್ಲಿ,Hope
1729,@shashikiran shetty BPL card irovru. Avrge ration kodlebeku nEducation alli free kottu support madbeku. Yestond jana rank togondirtare adre avrge dudiralla education madoke avrge free irbeku nnReservation poor people ge yak handre avru sariyagi study madoke hagiralla dudui tirtare jotege hodbeku nnDud irovru  hodtare,Hope
2692,ಯಾರ್ಯಾಗ್ ಈ ಸಾಂಗ್ ಇಷ್ಟ ಆಯ್ತು ಲೈಕ್ ಮಾಡಿ...,Not-Hope
3736,Super avanu helidanalla yelo galate ante avanu sikudre japli yelo togoduu odibeku tuuu.nNivu inu roste madtairi..nJai creative kannadiga..,Hope
3647,Super song,Hope
4442,I like it sr good job,Not-Hope
6640,ನಾನು ಲೈಕ್ ಮಾಡಿದೆ,Not-Hope
5392,ಸುಪರ್ ಅವನೆ ಶ್ರೀಮನ ನಾರಾಯಣ,Hope
303,TUNNE YASH BOLIMAGANE,Not-Hope
4542,Hand's up,Not-Hope
2898,Pakk film sound madee  madutte annoruu like madii..,Not-Hope
5788,ರಾಮ ರಾಮ ತುಸು ದಕ್ಷ ವೃಪ ಜಾರಿಪ,Hope
1904,ಈ ಹಾಡಿಗೇ  ಥಿಯೇಟರ್ ಅಲ್ಲಿ ಸ್ಟೇಪ್ಸ್ ಹಾಕೋದೋರು ಓಂದು like  ಕೋಡ್ರೋ,Not-Hope
76,ನಮ್ಮ ದೇಶದಲ್ಲಿ ಸ್ವಲ್ಪ ಜನ ದೇಶದ ಬಗ್ಗೆ ಯೋಚನೆ ಮಾಡೋದು ಬಿಟ್ಟ  . ಬಕೆಟ್ ಹಿಡಿಯೋ ಕೆಲಸ ಚನ್ನಾಗಿ ಮಾಡ್ತಾರೆ ಅಣ್ಣಾ ಅದಕ್ಕೆ ಹೀಗೆಲ್ಲ ಮಾಡ್ತಾರೆ ಅವರು....nDeshakkagi jeeva kotta aa yodhariginta e talent ankond yellargu irritate maado jana ne hechhu anna.... nIndia bagge swalp aadru kalaji idre a application uninstall madri guru .nDeshad bagge bhakti illa andre illi irok nalayakka avaru .....,Not-Hope
3296,@kinu0505 report him,Not-Hope
2191,ಸಾರ್ ಕಾಯಕವೇ ಕೈಲಾಸ ಹ್ಯಾಟ್ಸ್ ಆಫ್ ನಿಮ್ಗೆ ನಿಮ್ಮಿಂದ ಒಂದು ಪಾಠ ಕಲಿತೆ ಅದು ಕೆಲ್ಸ ಯಾವುದೇ ಆಗಲಿ ಅದನ್ನು ಶ್ರದ್ಧೆಯಿಂದ ಮಾಡ್ಬೇಕು ಅನ್ನೋದು ಧನ್ಯವಾದ ಸಾರ್ ನಿಮ್ಗೆ,Hope
7489,Good song nPakka hit agutha,Hope
3407,@prithvi nayak ನಿಮ್ಮ ಅವ್ವುನ್ ಹತ್ರಾ ಹೋಗು ಕೊಡ್ತಾಳೆ ತಿಕಾ ನಾ,Not-Hope
4907,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not-Hope
5662,Sir nam deshadalli political sari erbeku jati beda elde balbeku avaga devolop agbhdu,Hope
4234,Sir albede life enjoy madbedi Mahabharata odi,Not-Hope
7012,idu beku guru china soole maklige innu kodu guru superrrr  guru,Not-Hope
3622,Spoon beesidava Rishab Shetty,Not-Hope
1607,Hands up,Not-Hope
5475,Sariyagi helidira bro,Not-Hope
4521,ಎಲ್ಲರೂ HANDS UP ಸೈಲೆಂಟ್ ಆಗಿರಿ ಶ್ರೀ ಮನ್ನಾ ರಾಯನ ಬಂದವ್ನೆ...,Hope
5046,superb superb superb,Hope
2749,Bro nan phone thagandaginda nu aa galeej app install madilla.adre adu yavdo ragitu goditu antharalla (share it ) na delete mad de,Not-Hope
7415,ADBHUTHA  Sathya,Not-Hope
1771,ನಿಮಗೆ ಸರಿಯಾಗಿ ಅರ್ಥ ಆಗ್ತಿಲ್ಲ ಅಮರಪ್ರಸಾದ,Not-Hope
4543,ಕನ್ನಡ ನಾಡಿನ ಕೀರ್ತಿ ಜಗತ್ತಿನೆಲ್ಲೆಡೆ ಹರಡಲಿ ಅಂತ ಬಯಸುತ್ತೇನೆ,Hope
2174,Nim bagge nanu kai hetthi mugithini shankar ashwath sir,Not-Hope
119,TREND SETTING SONG,Hope
6358,Ee song nodtha eroru ennomme trailer nodi.....,Hope
2767,Innu enta avrige hege helbeku anna desha anta bandaga ellaru ki jodisbeku enta avrige nam deshada sinikaru prana kodbeka adike kendra sarkara ne  e tik  tok  ban madbeku,Hope
1834,Nav avnaa meet agboda sir?,Not-Hope
5547,Hi super bro,Hope
4101,God bless u ashwath Sir nimma harogya chennagirali,Hope
3165,Hundred persent true guruuu,Hope
3804,Super bro keep doing bro,Not-Hope
2436,Booking start  ಮಾಡಿ,Not-Hope
703,wowww superb song,Hope
5489,Anna nin padha Xerox kodanna,Hope
2984,#DBOSS  ದರ್ಶನ್ ಅಣ್ಣನ ಅಭಿಮಾನಿಗಳ ಕಡೆ ಇಂದ All the best,Not-Hope
5250,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ನಮ್ಮ ಕನ್ನಡ  ಇಂಡಸ್ಟ್ರಿ ನ ಬೆಳವಣಿಗೆ ಮಾಡಲಿಕ್ಕೆ ಬಂದ ಇನ್ನೊಬ್ಬ ರಜಕುಮರ್ ಅಣ್ಣಾವ್ರು ಒಂದು ಲೈಕ್ ಮತ್ತೆ ಎಷ್ಟೊಂದು ಜನರು ಕನ್ನಡದಲ್ಲಿ ಕಾಮೆಂಟ್ ಮಾಡಿದವರಿಗೂ ಹ್ಯಾಂಡ್ಸಪ್ ಜೈ ಕರ್ನಾಟಕ ಮಾತೆ,Not-Hope
5493,Tik Tok Banned Jolly Jolly  Jai Hind Jai Karnataka,Not-Hope
4306,ನಾವ್ ಲಕ್ಷ್ಮೇಶ್ವರ ದವರ nಸೂಪರ್,Hope
2325,ನನ್ನ ಪ್ರಕಾರ ಈ ಟೆಲಿಗ್ರಾಂ ಅನ್ನೋ ಆಪ್ ನಲ್ಲಿ ಎಲ್ಲ ಸಿನಿಮಾಗಳ ಲಿಂಕ್ ಹಾಗೂ Hd ಸಿನಿಮಾಗಳು ಸಿಗುತ್ತಿವೆ ಇದನ್ನೂ ನಿಲ್ಲಿಸಿದರೆ ನಿಜವಾಗಿಯೂ ಎಲ್ಲ ಕನ್ನಡ ಸಿನಿಮಾಗಳು ಹಾಗೂ ಬೇರೆ ಸಿನಿಮಾಗಳು ಕೂಡಾ ಬೆಳೆಯುತ್ತದೆ ನನ್ನ ಸ್ನೇಹಿತರು ಕೂಡಾ ಇದೆ ತರಹ ನಿಮ್ಮ ಸಿನಿಮಾ ನೋಡಿದ್ದಾರೆ ಹಾಗೂ ಅವರು ಕೂಡಾ ಬೇರೆ ಅವರಿಗೆ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೆ ನೋಡಿ ಅಂತ ಮೊಬೈಲ್ ಅಲ್ಲಿ ಕಳುಸ್ತಾ ಇದ್ದರೆ ಇದು ನನಗೆ ತುಂಬಾ ಬೇಜಾರಾಗಿದೆ ಆದರೆ ದಿಯಾ ಸಿನೆಮಾ ತುಂಬಾ ಅಂದ್ರೆ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೆ ನನ್ನ ಕಣ್ಣಲಿ ನೀರು ತುಂಬಿದ್ದು ನಿಜ ಅದೀ  ಪಾತ್ರ ಹಾಗೂ ದಿಯಾ ಪಾತ್ರ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಮೂಡಿ ಬಂದಿದೆ ನನ್ ಮಾತಾಡಿದ್ದು ಸರಿ ಎನಿಸಿದರೆ ಕಮೆಂಟ್ ಮಾಡಿ ಧನ್ಯವಾದಗಳು,Not-Hope
5686,Kalki Avathara(superb song),Not-Hope
354,Bookmyshow nalli Robert ge interest kodi,Not-Hope
2015,Idu kgf beat madutte annoru like here,Hope
498,Super movie guru,Not-Hope
3581,Awesome song,Not-Hope
7309,Over buildup yella yaake bidu guru...story chanagi kottidre saaku...aa rashmika thika uribeku....,Not-Hope
2160,Nim maathugalu thumba esta aaythu sir,Hope
650,Like father like son Jaga mechchuvanta manushya.,Hope
4218,Super human you are sir,Not-Hope
673,30 ವರ್ಷಗಳ ಹಿಂದೆ ನಾವು 7 ನೇ ತರಗತಿಯಲ್ಲಿ ಇದ್ದಾಗ ಈ ಕಥೆಯ ಕ್ಯಾಸೆಟ್ ಮುಖಾಂತರ ಕೇಳಿ ಬಹಳ ಖುಷಿಪಡುತ್ತಿದ್ದೆವು. ಮತ್ತೊಮ್ಮೆ ಈ ಕಥೆಯನ್ನು ಕೇಳಲು ಅವಕಾಶ ಕಲ್ಪಿಸಿಕೊಟ್ಟ ಅಶ್ವಿನಿ ಕ್ಯಾಸೆಟ್ ಕಂಪನಿಗೆ ತುಂಬಾ ಧನ್ಯವಾದಗಳು....,Hope
1451,Ei movi pass aglile,Not-Hope
1069,@Nandi Parthasarathi ಲೆ ನೀನು ಒಳ್ಳೆಅವ್ಳು ಆದ್ರೆ ಸೈಡ್ ಗೇ ಇರು.... ಅದು ಬಿಟ್ಟು ತಿಕಾ ಎಲ್ಲಾ ಮಾತಾಡೋಕೆ ಬಂದ್ರೆ... ಗೊತ್ತಲಾ,Not-Hope
7041,Binduge saryagi ugithidira good go ahead  we are enjoying well,Not-Hope
6186,Chindhi guru.. Sakkath.,Hope
3724,Guru nim voice nim creativity dailogs galu suuuuuuuuuuuuuuuuuuuuuuuuuper,Not-Hope
27,ಮೊದ್ಲು ಡಿಲೀಟ್  ಮಾಡ್ರೋ ಯಾವನು ಯವಳು  ಹಾಕೊಂಡಿದೀರಾ tiktok ಲೇ ದೇಶದ್ರೋಹಿಗಳ ಡಿಲೀಟ್ ಮಾಡ್ರಲಾ ಚಪ್ಪರ್ಗಳ  ಚೀನಿ ಆಪ್ ಗಳು ಯಾವು ಇದಾವೆ ಎಲ್ಲಾ ಮಾಡ್ರೋ ಈ ವಿಡಿಯೋ ದಲ್ಲಿ ಕೆಲವೊಂದು ಕಚಡಗಳು ಮಾತಾಡಿದವಲ್ಲ ಅವು ದೇಶದ್ರೋಹಿಗಳು ಸುಟ್ಟಾಕ್ರೋ ಅವರ್ನೆಲ್ಲ,Not-Hope
4161,ಶಂಕರ್ ಅಶ್ವತ್ಥ್ ಅವರು bigg boss ಗೆ ಬರೋದು ನಿಜಾನಾ?,Hope
6502,Very nice video,Not-Hope
4189,ಶಂಕರ ಅಶ್ವತ್  ಕಷ್ಟಪಟ್ಟು ಜೀವನ ನಡೆಸುತ್ತಿರುವ ಉತ್ತಮ ಗುಣಮಟ್ಟದ ವಕ್ತಿ,Hope
7452,Ganesh Bhat -ಬೆಡುವ ಅವಶ್ಯಕತೆ ನನ್ನಗೆ ಇಲ್ಲಪ್ಪಾ ಬೆಕಾದರೆ ನಿನೆ ಬಾ ಪ್ರಿ ಅಗಿ ಉಟ ಹಾಕತಿನಿ.,Not-Hope
1673,ನನಗು ಕನ್ನಡ ಸಾಕು,Not-Hope
1667,Odeya  avane srimannarayana nRakshit shetty =likenDarshan = dislikenJai DBoobs dagarshan,Not-Hope
325,ಜಂಟಲ್ ಮ್ಯಾನ್ ಟ್ರೈಲರ್ ತುಂಬಾ ಅದ್ಭುತವಾಗಿ ಮೂಡಿ ಬಂದಿದೆ ಎಲ್ಲರೂ ನೋಡಿ ತಪ್ಪದೇ ಶೇರ್ ಮಾಡಿ ಜೆಂಟಲ್ ಮ್ಯಾನ್ ಚಿತ್ರ ತಂಡದವರಿಗೆ ಸಪೋರ್ಟ್ ಮಾಡಿn,Hope
3415,@TROLL MONSTER_KANNADA nNimma maneli iruva ladies yalrogu nane galuj madiddu.... nInnu ninu yavanige huttidyo papa🤦🤦,Not-Hope
6258,ಬಹಳ  ಸೂಪರ್ ಗಿ  ಬೈದ್ದಿದ್ದಾರ   ಅಣ್ಣ,Not-Hope
2839,2k dislikes rashmika maandanna fanss,Not-Hope
4576,Nice song galli mathina bajaru suddi saridhe sumaru charitre shrustiso avathara,Hope
6444,@Shashidhar A 10000% sathyavada maathu,Not-Hope
5942,appu boss fans nlike madi,Not-Hope
2641,Hands  up  super  songs,Not-Hope
7455,Nijwaglu idare antha nambake agta illaaa,Hope
4593,Super sogs guru,Not-Hope
6192,Wow super super super jai India,Not-Hope
835,Rocking star kadi enda all de best,Not-Hope
7273,Super................ Song,Hope
5745,Kannadada matthondu maligallu,Not-Hope
5594,ಚೀನಾ ನಿಜವಾದ ಕಮ್ಯೂನಿಸ್ಟ್ ರಾಷ್ಟ್ರ ಆದರೆ ಆಲ್ಲಿನ ಕಾನೂನು  ಹಾಗಿಲ್ಲ ಆದರೆ ನಮ್ಮದೇಶ ಸ್ವತಂತ್ರ ದೇಶ ಆದರೆ ಕಾನೂನು ನಕ್ಸಲಿ ಕಾನೂನ ದುಡಿಯುವವನ ಬಳಿ ಕಿತ್ತು ಕುಳಿತ ಸೊಂಬೇರಿಗಳ ಸಾಕುವ ಮಹಾನ್ ದಾರಾಳ ದುರಬುದ್ದಿಯ ರಾಷ್ಟ್ರ ನಮ್ಮ  ಭಾರತ... ಇಲ್ಲಿ  ಬಿಟ್ಟಿ ಅಕ್ಕಿ ಬಿಟ್ಟಿ ದಿನಸಿ ಬಿಟ್ಟಿ TV  ಮಿಕ್ಸಿ ಎಲ್ಲಾ ಸರ್ಕಾರವೇ ಕೊಡುತ್ತೆ ನಾವುಗಳು ಬರಿ ಹೆಣ್ಣು ನೋಡಿಕೊಂಡು ಮದುವೆ ಆಗಿ ಮಕ್ಕಳು  ಹುಟ್ಟಿಸಿದರೆ ಸಾಕು ಮತ್ತೆ  ಆ ಮಕ್ಕಳನ್ನೂ ನಮ್ಮ  ದೇಶದ ಆಡಳಿತ ಸರ್ಕಾರಗಳು ಸಾಕಿಕೊಳ್ಳುತ್ತವೆ ಏಕೆಂದರೆ  ಅದು ಭವಿಷ್ಯದ ಓಟು.... nಭಾರತ ಇಂಥಹ ನೀಚ ಮನಸ್ಥಿತಿಯಿಂದ ಹೊರಬಂದು  ಯುವ ಜನತೆಗೆ ಶ್ರಮವಹಿಸಿ ದುಡಿಯೊದು ಕಲಿಸದಿದ್ದರೆ ಈ ದೇಶ ಭಿಕ್ಷುಕರ ನಾಡಾಗುತ್ತೆ... nಸೊಂಬೇರಿಗಳ ಮಹಾನ್ ಭಾರತ...,Not-Hope
3861,Idu yava game bro,Not-Hope
3934,ಈ ಶೆಟ್ರುಗಳ ಸಿನಿಮಾನೆ ಒಂದ್ ರೀತಿ ಚಂದ ಇರುತ್ತೆ,Not-Hope
6101,12pm start madi 5pm complete madde,Not-Hope
7450,Ganesh Bhat -ಇಷ್ಟ  ಅಸಭ್ಯವಾಗಿ ನಿನು ಬ್ರಾಹ್ಮಣನಾಗಿ ಮಾತಾಡುವದು ಸರಿ ಅಲ್ಲಾ. ಯಾರಿಗೆ ಮರಾಯ ನಿನ್ನ ಮನೆ ಮಜ್ಜಿಗೆ ಬೆಕಾಗಿದೆ,Not-Hope
4260,ಕನ್ನಡದಲ್ಲೆ ಹೆಚ್ಚಾಗಿ ಮಾತನಾಡಿದ್ದಕ್ಕೆ ಧನ್ಯವಾದಗಳು...nAll the best sr,Not-Hope
292,Karabu Song Keli....bejar agii .....e song kelthaa edhini....🤗🤗🤩🤩🤩,Hope
482,Yake jana ogtila andre bec of telegram app bec yala movie galu 1 week ge sigtide yalrugu phone ale nodtidare.tuu itara ole cinimas na yaru ogi nodtilwala anode bejaruu.ban the telegram appnPlzz,Not-Hope
6555,ಭಗವಂತ ನಿಮ್ಮನ್ನು  ಮತ್ತು ನಿಮ್ಮ ಕುಟುಂಬವನ್ನು ಸದಾಕಾಲ ಕಾಪಾಡಲಿ.... ಒಳ್ಳೆಯವರಿಗೆ ಒಳ್ಳೆಯದೇ ಆಗುತ್ತದೆ....,Hope
1108,Avane srimannarayana super songs hands up,Not-Hope
5514,Anna suprrrrrr sir,Hope
2037,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಸಾಂಗ್!!!nಮಧ್ಯ  ಸೇವನೆ  ಅಭ್ಯಾಸದಿಂದ ಬೇಕಾದ್ರೆ ಮುಕ್ತಿ ಪಡೆಯಬಹುದು ಆದ್ರೆ ಈ ಸಾಂಗ್ ಇಂದ ಅಲ್ಲ  ನಿಜಾ ಅನ್ನೋರು Hands Up ಮಾಡಿ,Hope
561,ಮನೆಯಿಂದಲೇ ಸಂಪಾದಿಸಬೇಕೇ? With income proof. WhatsApp 6362806874,Hope
6896,Jai D BoSs,Not-Hope
5722,All Celebrities HandsUp Challenge |Avane Srimannarayana Movie |HandsUp Song Kannadan,Not-Hope
6424,6-5=2 nalli nijvadh video antha posteralli nodide but movie nodida mele gotthaythu adu sulu antha,Not-Hope
7054,Mettu tagand hodibeku soolemaklige soolerge avren chinadalliro mindrige hunttidira nimmoun t....u,Not-Hope
3317,@Nandi Parthasarathi hogo sede gayash gojjekesari released in nayimari tunne,Not-Hope
4282,Godiyaga ata aadtida,Not-Hope
5417,Entha savu marre idu nExam Alli ans nepagalla  1line bardu 2nd line baribekidre ide song barutte,Not-Hope
3131,Bro  so nice videos 🤣,Hope
3848,Super roast but e pubg vedios yake sink madi roast madtira. Change madi,Not-Hope
7379,Veerappan ennu badkavna elva edra bagge ondu video madi sir. 🤔,Hope
3050,Raxit shetty uvarige ondu namaskar ide tara uvaru kannad film madali uvar comedy tumba chennagide.,Not-Hope
6786,Same here guru,Not-Hope
2309,Kannadadalli mado badlu hindinalli madidre superrhit agodhu,Not-Hope
4462,Nam deshadali jati satre desha uddara agothe ....nChunavanne barli nive nodi gothagothe Hindu...Muslim abbbaaa halka rajkarnnigallu...,Not-Hope
943,Super songs,Hope
2190,Thanks sir kayakve kailasa ja basva,Hope
2177,Nijavaglu belakaythu Shankar sir,Hope
3534,Nanu kuda ashwattamananna nodidini,Not-Hope
64,Chinndi guru ennu roast madu,Not-Hope
6209,Super guru love you,Hope
5881,ಗೋಲ್ಡನ್ ಸ್ಟಾರ್ ಗಣೇಶ್ ಅಭಿಮಾನಿಗಳಿಂದ all the best,Hope
5747,ಕೈನಲ್ ಏನೂ ಕೂಡಾ ಕಿಸಿಯೊಕೆ ಆಗದ ಕಿಡಿಗೇಡಿಗಳು ಬೆನ್ನ ಹಿಂದೆ ಬೆಂಕಿ ಹಚ್ಚಿ ನಗ್ತಾರೆ.. ಆದರೆ ಅವರಿಗೆಂಗೊತ್ತು ಆ ಬೆಂಕಿಲೆ  ಇಡೀ ವಿಶ್ವದಲ್ಲಿ  ಚರಿತ್ರೆ ಸೃಷ್ಟಿ ಮಾಡೋಕೆ ಅವನು ಬಂದೆ ಬರ್ತಾನೆ ಅಂತ ಯಾರವನು  ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ,Hope
2573,idu.. idu.. channagirodu andrenbenki boss nivu,Hope
3217,ಸೂಪರ್ ತೊಗರಿ ತಿಪ್ಪ,Hope
1061,@Nandi Parthasarathi le randimagne modlu nimma appa amma hige mattadu kalisiddara modlu ninu mataadiddu aariti nodo hogo first,Not-Hope
6171,Niceeeeeee vidio bro,Hope
4116,No comments. Kambani kannadi iddanthe,Not-Hope
6823,Super ri boss lovely jai Kiccha Fan's jai rakshith Shetty boss,Not-Hope
4005,@KGF Chapter 2 good,Not-Hope
6816,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,Hope
4098,Swabhimani Shankar Ashwath avru elrigu maadari... U r great sir,Hope
1750,ದೇಶಧ್ರೋಹಿಗಳು ಡಿಸ್ ಲೈಕ್ ಮಾಡಿದರೆ ನೀವು ನಿಜವಾದ ದೇಶ ದ್ರೋಹಿಗಳು ನಾಚಿಕೆ ಆಗಬೇಕು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ.... ಇಂತಹ ಅದ್ಭುತವಾದ ವಿಡಿಯೋ ಗಳಿಗೂ ಡಿಸ್ ಲೈಕ್  ಮಾಡಿದ್ರಲ್ಲ ನಿಮಗೆ ನಾಚಿಕೆ ಆಗಲ್ವಾ.....,Not-Hope
6638,ಸೂಪರ್‌  ಸಾಂಗ್,Hope
5557,Pubgi kooda ban agbikittu,Not-Hope
3390,@prithvi nayak ನಿನ್ ತುಲ್ಲು ವಾಸ್ನಿ,Not-Hope
5154,naavu childhood days valag e story kelidde,Hope
2099,Le tukali like dislike janakke bittaddu,Not-Hope
1000,Kudla dagul yerla ullara‍‍,Not-Hope
4807,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಸಿನಿಮಾ ಹಾಗೂ ಹಾಡು  ಒಂದೇ  ರೀತಿ ಒಮ್ಮೆ ನೋಡಿದರೆ  ಅರ್ಥ  ಆಗಲ್ಲ ಮತ್ತೊಮ್ಮೆ  ನೋಡಿದರೆ ಮಾತ್ರ ಕನೆಕ್ಟ್  ಆಗುತ್ತೆ  ಎಂದು ಮತ್ತೊಮ್ಮೆ ಕೇಳುವವರು  ಹಾಗೂ ನೋಡುವವರು  ಲೈಕ್ ಮಾಡಿ,Hope
5724,Extradnary talent from raksit setty e movie enadru Kannada industrige hosa sandesha kodutte annoru like madi,Not-Hope
5386,Nenne bigboss nalli chandan same step maadudru..,Not-Hope
6965,@ನಾನು ನೀನು Thank you bro..,Not-Hope
4876,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not-Hope
5814,Kannada super song,Not-Hope
1951,Avane shriman narayan movie paka 100 days,Not-Hope
723,ರಾಕಿಂಗ್ ಸ್ಟಾರ್ ಯಶ್ ಅಭಿಮಾನಿಗಳಿಂದ ಶುಭ ಹಾರೈಕೆಗಳು,Not-Hope
5494,Super  Anna,Hope
3404,@prithvi nayak ಪೈಲ್ವಾನ್ ರನ್ನಿಂಗ್ ಸಕ್ಸಸ್ ಫುಲ್ ಇನ್ mars,Hope
2163,God bless you sir,Hope
1868,No way chance illa  ivaga elli edane proof kodi  nambteevi,Not-Hope
2725,Namma  desha da bagge abimana ellde eroru ge  adru tik tok use madtha eddre avru tamma mother naa ennobirige bitkotta hage  eddanu odinu tik tok madidre niu muuru bittoru antha artha,Not-Hope
2229,@10 R Lo Kanda... Baiyoke ninthre nim appa kano naanu,Not-Hope
6403,Nangu tumba ase movie nodbekanta adre movie near by yellu illa.,Not-Hope
4828,Comment's nali like madidre illi unlike madi (super song ) nI will coming soon back ..⏳ n100 days super it move pakka.,Hope
3123,Creative kannadiga ur super  n tiktok  users ge nive correct,Hope
1074,@Nandi Parthasarathi ಹ ನೀನು ಮುಂಡೆ ನ ಎಲ್ಲಾ ಮುಂಡೆಗಂಡಾ ನ ..?  I still confused,Not-Hope
1139,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಯವರ ಬಾಡಿ ಲಾಂಗ್ವೇಜ್ ಗೆ ಸೈ ಎಂದವರು ಲೈಕ್ ಮಾಡಿ,Not-Hope
5049,Bhal Varshada nantra keli tumba khushiyatu..,Hope
3369,Super songs,Hope
3577,Found 806 rashmika mangannas....,Not-Hope
1818,ನನಗು ತೊರಸಿ ಅಶ್ವತ್ತಾಮರಾ,Not-Hope
5883,Nice d ಬಾಸ್ ಅಭಿಮಾನಿ,Not-Hope
